City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
135,tidjikja,18.5564,-11.4271,13.45,24,0,5.22,MR,1736138471
136,torbat-e jam,35.244,60.6225,3.23,49,0,1.7,IR,1736138472
137,isafjordur,66.0755,-23.124,-6.99,77,97,7.1,IS,1736138473
138,azna,33.6095,48.9307,4.94,32,66,1.67,IR,1736138474
139,jamestown,42.097,-79.2353,-11.97,99,100,0.99,US,1736138476
140,lata,40.1629,-8.3327,8.78,89,100,3.69,PT,1736138477
141,oelwein,42.6733,-91.9135,-9.98,79,100,6.26,US,1736138478
142,tazovsky,67.4667,78.7,-10.4,93,100,10.93,RU,1736138479
143,cheremukhovo,60.3484,59.9851,-14.47,85,49,3.48,RU,1736138480
144,geneina,13.45,22.45,14.74,24,3,7.79,SD,1736138481
145,san patricio,28.017,-97.5169,10.18,29,0,9.74,US,1736138482
146,zaysan,47.4667,84.8667,-10.78,89,81,1.28,KZ,1736138484
147,saint-pierre,-21.3393,55.4781,27.91,72,0,3.24,RE,1736138485
148,sussex,41.1834,-74.6663,-2.55,70,69,1.79,US,1736138486
149,sittwe,20.15,92.9,25.37,57,19,1.46,MM,1736138487
150,puerto baquerizo moreno,-0.9,-89.6,23.5,84,95,2.77,EC,1736138488
151,tazacorte,28.629,-17.9293,19.53,76,4,2.75,ES,1736138489
152,el alto,-4.2714,-81.2147,20.9,82,100,3.15,PE,1736138490
153,port blair,11.6667,92.75,28.31,65,13,5.68,IN,1736138492
154,fale old settlement,-9.3852,-171.2468,27.3,75,100,5.4,TK,1736138493
155,kamyaran,34.7956,46.9355,3.64,45,100,0.97,IR,1736138494
156,zaozersk,69.4005,32.4476,-19.36,100,100,1.83,RU,1736138496
157,ola,59.5833,151.2833,-15.1,75,17,3.83,RU,1736138497
158,babugarh,28.7167,77.85,16.89,48,0,1.63,IN,1736138499
159,pacific grove,36.6177,-121.9166,11.35,93,69,2.24,US,1736138500
160,nova vicosa,-17.8919,-39.3719,24.49,93,94,3.18,BR,1736138501
161,polyarnyy,69.1989,33.4478,-18.3,99,97,2.7,RU,1736138502
162,diffa,13.3154,12.6113,16.4,34,23,3.92,NE,1736138503
163,anloga,5.7947,0.8973,26.68,87,83,6.07,GH,1736138506
164,west richland,46.3043,-119.3614,4.66,91,99,2.28,US,1736138288
165,alotau,-10.3069,150.4462,31.46,62,100,2.85,PG,1736138508
166,khanpur,28.6453,70.6567,17.35,22,0,2.54,PK,1736138509
